id,subject_id,subsubject_id
1,1,3
2,1,20
3,1,24
4,1,25
5,1,35
6,1,38
7,1,45
8,1,46
9,1,47
10,1,54
11,1,64
12,1,65
13,1,67
14,1,68
15,1,74
16,1,84
17,1,86
18,1,88
19,1,89
20,1,90
21,1,91
22,1,92
23,1,95
24,1,100
25,1,111
26,1,113
27,1,117
28,1,123
29,1,125
30,1,133
31,1,141
32,1,142
33,1,145
34,1,153
35,1,154
36,1,166
37,2,157
38,3,10
39,3,16
40,3,29
41,3,41
42,3,43
43,3,109
44,3,140
45,3,160
46,4,2
47,4,26
48,4,39
49,4,49
50,4,56
51,4,57
52,4,66
53,4,128
54,5,49
55,5,115
56,6,12
57,6,79
58,6,80
59,6,81
60,6,93
61,6,102
62,6,129
63,6,152
64,6,163
65,7,99
66,8,150
67,9,83
68,10,6
69,10,18
70,10,19
71,10,20
72,10,21
73,10,23
74,10,31
75,10,32
76,10,37
77,10,40
78,10,42
79,10,48
80,10,50
81,10,52
82,10,53
83,10,58
84,10,59
85,10,61
86,10,64
87,10,69
88,10,74
89,10,75
90,10,85
91,10,86
92,10,95
93,10,98
94,10,101
95,10,105
96,10,107
97,10,108
98,10,112
99,10,116
100,10,119
101,10,120
102,10,125
103,10,126
104,10,134
105,10,137
106,10,144
107,10,151
108,10,155
109,10,161
110,10,162
111,10,164
112,10,165
113,10,166
114,11,4
115,11,7
116,11,8
117,11,11
118,11,13
119,11,14
120,11,15
121,11,28
122,11,30
123,11,33
124,11,34
125,11,36
126,11,55
127,11,77
128,11,78
129,11,82
130,11,87
131,11,96
132,11,103
133,11,106
134,11,114
135,11,118
136,11,121
137,11,122
138,11,132
139,11,138
140,11,139
141,11,143
142,11,156
143,12,1
144,12,127
145,12,135
146,12,136
147,12,158
148,12,159
149,13,5
150,13,9
151,13,17
152,13,22
153,13,27
154,13,31
155,13,42
156,13,44
157,13,51
158,13,60
159,13,62
160,13,63
161,13,68
162,13,70
163,13,71
164,13,72
165,13,73
166,13,75
167,13,76
168,13,80
169,13,81
170,13,90
171,13,94
172,13,97
173,13,99
174,13,102
175,13,104
176,13,110
177,13,119
178,13,124
179,13,128
180,13,129
181,13,130
182,13,131
183,13,146
184,13,147
185,13,148
186,13,149
187,13,152
